+---------+------------+-----------+------------+
| s_id    | 氏名       | work_time | r_date     |
| SI00001 | 清水春子   |         8 | 2012-12-12 |
| SI00001 | 清水春子   |        10 | 2012-12-13 |
| SI00001 | 清水春子   |         9 | 2012-12-14 |
| SI00001 | 清水春子   |         8 | 2012-12-15 |
| SI00001 | 清水春子   |         8 | 2012-12-16 |
| SI00001 | 清水春子   |         8 | 2012-12-19 |
| SI00001 | 清水春子   |         8 | 2012-12-20 |
| SI00001 | 清水春子   |         9 | 2012-12-21 |
| SI00001 | 清水春子   |         8 | 2012-12-22 |
| SI00001 | 清水春子   |        10 | 2012-12-23 |
| SI00001 | 清水春子   |         8 | 2012-12-26 |
| SI00001 | 清水春子   |         8 | 2012-12-27 |
| SI00001 | 清水春子   |         8 | 2012-12-28 |
| TA00001 | 田中真由子 |        10 | 2012-12-01 |
| TA00001 | 田中真由子 |        11 | 2012-12-02 |
| TA00001 | 田中真由子 |        10 | 2012-12-05 |
| TA00001 | 田中真由子 |         9 | 2012-12-06 |
| TA00001 | 田中真由子 |        10 | 2012-12-07 |
| TA00001 | 田中真由子 |         8 | 2012-12-08 |
| TA00001 | 田中真由子 |         8 | 2012-12-09 |
| TA00001 | 田中真由子 |         8 | 2012-12-12 |
| TA00001 | 田中真由子 |         8 | 2012-12-13 |
| TA00001 | 田中真由子 |         4 | 2012-12-14 |
| TA00001 | 田中真由子 |         8 | 2012-12-15 |
| TA00001 | 田中真由子 |         8 | 2012-12-16 |
| TA00001 | 田中真由子 |        10 | 2012-12-19 |
| TA00001 | 田中真由子 |         9 | 2012-12-20 |
| TA00001 | 田中真由子 |         9 | 2012-12-21 |
| TA00001 | 田中真由子 |         8 | 2012-12-22 |
| TA00001 | 田中真由子 |        11 | 2012-12-23 |
| TA00001 | 田中真由子 |         9 | 2012-12-26 |
| TA00001 | 田中真由子 |         8 | 2012-12-27 |
| TA00001 | 田中真由子 |         6 | 2012-12-28 |
| TA00002 | 田辺正一   |         8 | 2012-12-01 |
| TA00002 | 田辺正一   |        10 | 2012-12-02 |
| TA00002 | 田辺正一   |         8 | 2012-12-05 |
| TA00002 | 田辺正一   |         9 | 2012-12-06 |
| TA00002 | 田辺正一   |         8 | 2012-12-07 |
| TA00002 | 田辺正一   |         8 | 2012-12-08 |
| TA00002 | 田辺正一   |         9 | 2012-12-09 |
| TA00002 | 田辺正一   |         8 | 2012-12-12 |
| TA00002 | 田辺正一   |        10 | 2012-12-13 |
| TA00002 | 田辺正一   |         9 | 2012-12-14 |
| TA00002 | 田辺正一   |         8 | 2012-12-15 |
| TA00002 | 田辺正一   |         8 | 2012-12-16 |
| TA00002 | 田辺正一   |         8 | 2012-12-19 |
| TA00002 | 田辺正一   |         8 | 2012-12-20 |
| TA00002 | 田辺正一   |         9 | 2012-12-21 |
| TA00002 | 田辺正一   |         8 | 2012-12-22 |
| TA00002 | 田辺正一   |        10 | 2012-12-23 |
| TA00002 | 田辺正一   |         8 | 2012-12-26 |
| TA00002 | 田辺正一   |         8 | 2012-12-27 |
| TA00002 | 田辺正一   |         8 | 2012-12-28 |
| TO00002 | 戸川よしみ |         8 | 2012-12-01 |
| TO00002 | 戸川よしみ |        10 | 2012-12-02 |
| TO00002 | 戸川よしみ |         8 | 2012-12-05 |
| TO00002 | 戸川よしみ |         9 | 2012-12-06 |
| TO00002 | 戸川よしみ |         8 | 2012-12-07 |
| TO00002 | 戸川よしみ |         8 | 2012-12-08 |
| TO00002 | 戸川よしみ |         9 | 2012-12-09 |
| TO00002 | 戸川よしみ |         8 | 2012-12-12 |
| TO00002 | 戸川よしみ |        10 | 2012-12-13 |
| TO00002 | 戸川よしみ |         9 | 2012-12-14 |
| TO00002 | 戸川よしみ |         8 | 2012-12-15 |
| TO00002 | 戸川よしみ |         8 | 2012-12-16 |
| TO00002 | 戸川よしみ |         8 | 2012-12-19 |
| TO00002 | 戸川よしみ |         8 | 2012-12-20 |
| TO00002 | 戸川よしみ |         9 | 2012-12-21 |
| TO00002 | 戸川よしみ |         8 | 2012-12-22 |
| TO00002 | 戸川よしみ |        10 | 2012-12-23 |
| TO00002 | 戸川よしみ |         8 | 2012-12-26 |
| TO00002 | 戸川よしみ |         8 | 2012-12-27 |
| TO00002 | 戸川よしみ |         8 | 2012-12-28 |
| TU00001 | 津村知美   |         8 | 2012-12-01 |
| TU00001 | 津村知美   |        10 | 2012-12-02 |
| TU00001 | 津村知美   |         8 | 2012-12-05 |
| TU00001 | 津村知美   |         9 | 2012-12-06 |
| TU00001 | 津村知美   |         8 | 2012-12-07 |
| TU00001 | 津村知美   |         8 | 2012-12-08 |
| TU00001 | 津村知美   |         9 | 2012-12-09 |
| TU00001 | 津村知美   |         8 | 2012-12-12 |
| TU00001 | 津村知美   |        10 | 2012-12-13 |
| TU00001 | 津村知美   |         9 | 2012-12-14 |
| TU00001 | 津村知美   |         8 | 2012-12-15 |
| TU00001 | 津村知美   |         8 | 2012-12-16 |
| TU00001 | 津村知美   |         8 | 2012-12-19 |
| TU00001 | 津村知美   |         8 | 2012-12-20 |
| TU00001 | 津村知美   |         9 | 2012-12-21 |
| TU00001 | 津村知美   |         8 | 2012-12-22 |
| TU00001 | 津村知美   |        10 | 2012-12-23 |
| TU00001 | 津村知美   |         8 | 2012-12-26 |
| TU00001 | 津村知美   |         8 | 2012-12-27 |
| TU00001 | 津村知美   |         8 | 2012-12-28 |
+---------+------------+-----------+------------+
